Source,Target,Relationship
IFC-300003,EVT-1126,MAPS_SENSOR_DATA
IFC-300001,EVT-1127,MAPS_SENSOR_DATA
IFC-300002,EVT-1128,MAPS_SENSOR_DATA
IFC-300003,EVT-1129,MAPS_SENSOR_DATA
IFC-300001,EVT-1130,MAPS_SENSOR_DATA
IFC-300002,EVT-1131,MAPS_SENSOR_DATA
IFC-300003,EVT-1132,MAPS_SENSOR_DATA
IFC-300001,EVT-1133,MAPS_SENSOR_DATA
IFC-300002,EVT-1134,MAPS_SENSOR_DATA
IFC-300003,EVT-1135,MAPS_SENSOR_DATA
IFC-300001,EVT-1136,MAPS_SENSOR_DATA
IFC-300002,EVT-1137,MAPS_SENSOR_DATA
IFC-300003,EVT-1138,MAPS_SENSOR_DATA
IFC-300001,EVT-1139,MAPS_SENSOR_DATA
IFC-300002,EVT-1140,MAPS_SENSOR_DATA
IFC-300003,EVT-1141,MAPS_SENSOR_DATA
IFC-300001,EVT-1142,MAPS_SENSOR_DATA
IFC-300002,EVT-1143,MAPS_SENSOR_DATA
IFC-300003,EVT-1144,MAPS_SENSOR_DATA
IFC-300001,EVT-1145,MAPS_SENSOR_DATA
IFC-300002,EVT-1146,MAPS_SENSOR_DATA
IFC-300003,EVT-1147,MAPS_SENSOR_DATA
IFC-300001,EVT-1148,MAPS_SENSOR_DATA
IFC-300002,EVT-1149,MAPS_SENSOR_DATA
IFC-300003,EVT-1150,MAPS_SENSOR_DATA
IFC-300001,EVT-1151,MAPS_SENSOR_DATA
IFC-300002,EVT-1152,MAPS_SENSOR_DATA
IFC-300003,EVT-1153,MAPS_SENSOR_DATA
IFC-300001,EVT-1154,MAPS_SENSOR_DATA
IFC-300002,EVT-1155,MAPS_SENSOR_DATA
IFC-300003,EVT-1156,MAPS_SENSOR_DATA
IFC-300001,EVT-1157,MAPS_SENSOR_DATA
IFC-300002,EVT-1158,MAPS_SENSOR_DATA
IFC-300003,EVT-1159,MAPS_SENSOR_DATA
IFC-300001,EVT-1160,MAPS_SENSOR_DATA
IFC-300002,EVT-1161,MAPS_SENSOR_DATA
IFC-300003,EVT-1162,MAPS_SENSOR_DATA
IFC-300001,EVT-1163,MAPS_SENSOR_DATA
IFC-300002,EVT-1164,MAPS_SENSOR_DATA
IFC-300003,EVT-1165,MAPS_SENSOR_DATA
IFC-300001,EVT-1166,MAPS_SENSOR_DATA
IFC-300002,EVT-1167,MAPS_SENSOR_DATA
IFC-300003,EVT-1168,MAPS_SENSOR_DATA
IFC-300001,EVT-1169,MAPS_SENSOR_DATA
IFC-300002,EVT-1170,MAPS_SENSOR_DATA
IFC-300003,EVT-1171,MAPS_SENSOR_DATA
IFC-300001,EVT-1172,MAPS_SENSOR_DATA
IFC-300002,EVT-1173,MAPS_SENSOR_DATA
IFC-300003,EVT-1174,MAPS_SENSOR_DATA
IFC-300001,EVT-1175,MAPS_SENSOR_DATA
IFC-300002,EVT-1176,MAPS_SENSOR_DATA
IFC-300003,EVT-1177,MAPS_SENSOR_DATA
IFC-300001,EVT-1178,MAPS_SENSOR_DATA
IFC-300002,EVT-1179,MAPS_SENSOR_DATA
IFC-300003,EVT-1180,MAPS_SENSOR_DATA
IFC-300001,EVT-1181,MAPS_SENSOR_DATA
IFC-300002,EVT-1182,MAPS_SENSOR_DATA
IFC-300003,EVT-1183,MAPS_SENSOR_DATA
IFC-300001,EVT-1184,MAPS_SENSOR_DATA
IFC-300002,EVT-1185,MAPS_SENSOR_DATA
IFC-300003,EVT-1186,MAPS_SENSOR_DATA
IFC-300001,EVT-1187,MAPS_SENSOR_DATA
IFC-300002,EVT-1188,MAPS_SENSOR_DATA
IFC-300003,EVT-1189,MAPS_SENSOR_DATA
IFC-300001,EVT-1190,MAPS_SENSOR_DATA
IFC-300002,EVT-1191,MAPS_SENSOR_DATA
IFC-300003,EVT-1192,MAPS_SENSOR_DATA
IFC-300001,EVT-1193,MAPS_SENSOR_DATA
IFC-300002,EVT-1194,MAPS_SENSOR_DATA
IFC-300003,EVT-1195,MAPS_SENSOR_DATA
IFC-300001,EVT-1196,MAPS_SENSOR_DATA
IFC-300002,EVT-1197,MAPS_SENSOR_DATA
IFC-300003,EVT-1198,MAPS_SENSOR_DATA
IFC-300001,EVT-1199,MAPS_SENSOR_DATA
IFC-300002,EVT-1200,MAPS_SENSOR_DATA
IFC-300003,EVT-1201,MAPS_SENSOR_DATA
IFC-300001,EVT-1202,MAPS_SENSOR_DATA
IFC-300002,EVT-1203,MAPS_SENSOR_DATA
IFC-300003,EVT-1204,MAPS_SENSOR_DATA
IFC-300001,EVT-1205,MAPS_SENSOR_DATA
IFC-300002,EVT-1206,MAPS_SENSOR_DATA
IFC-300003,EVT-1207,MAPS_SENSOR_DATA
IFC-300001,EVT-1208,MAPS_SENSOR_DATA
IFC-300002,EVT-1209,MAPS_SENSOR_DATA
IFC-300003,EVT-1210,MAPS_SENSOR_DATA
IFC-300001,EVT-1211,MAPS_SENSOR_DATA
IFC-300002,EVT-1212,MAPS_SENSOR_DATA
IFC-300003,EVT-1213,MAPS_SENSOR_DATA
IFC-300001,EVT-1214,MAPS_SENSOR_DATA
IFC-300002,EVT-1215,MAPS_SENSOR_DATA
IFC-300003,EVT-1216,MAPS_SENSOR_DATA
IFC-300001,EVT-1217,MAPS_SENSOR_DATA
IFC-300002,EVT-1218,MAPS_SENSOR_DATA
IFC-300003,EVT-1219,MAPS_SENSOR_DATA
IFC-300001,EVT-1220,MAPS_SENSOR_DATA
IFC-300002,EVT-1221,MAPS_SENSOR_DATA
IFC-300003,EVT-1222,MAPS_SENSOR_DATA
IFC-300001,EVT-1223,MAPS_SENSOR_DATA
IFC-300002,EVT-1224,MAPS_SENSOR_DATA
IFC-300003,EVT-1225,MAPS_SENSOR_DATA
IFC-300001,EVT-1226,MAPS_SENSOR_DATA
IFC-300002,EVT-1227,MAPS_SENSOR_DATA
IFC-300003,EVT-1228,MAPS_SENSOR_DATA
IFC-300001,EVT-1229,MAPS_SENSOR_DATA
IFC-300002,EVT-1230,MAPS_SENSOR_DATA
IFC-300003,EVT-1231,MAPS_SENSOR_DATA
IFC-300001,EVT-1232,MAPS_SENSOR_DATA
IFC-300002,EVT-1233,MAPS_SENSOR_DATA
IFC-300003,EVT-1234,MAPS_SENSOR_DATA
IFC-300001,EVT-1235,MAPS_SENSOR_DATA
IFC-300002,EVT-1236,MAPS_SENSOR_DATA
IFC-300003,EVT-1237,MAPS_SENSOR_DATA
IFC-300001,EVT-1238,MAPS_SENSOR_DATA
IFC-300002,EVT-1239,MAPS_SENSOR_DATA
IFC-300003,EVT-1240,MAPS_SENSOR_DATA
IFC-300001,EVT-1241,MAPS_SENSOR_DATA
IFC-300002,EVT-1242,MAPS_SENSOR_DATA
IFC-300003,EVT-1243,MAPS_SENSOR_DATA
IFC-300001,EVT-1244,MAPS_SENSOR_DATA
IFC-300002,EVT-1245,MAPS_SENSOR_DATA
IFC-300003,EVT-1246,MAPS_SENSOR_DATA
IFC-300001,EVT-1247,MAPS_SENSOR_DATA
IFC-300002,EVT-1248,MAPS_SENSOR_DATA
IFC-300003,EVT-1249,MAPS_SENSOR_DATA
IFC-300001,EVT-1250,MAPS_SENSOR_DATA
IFC-300002,EVT-1251,MAPS_SENSOR_DATA
IFC-300003,EVT-1252,MAPS_SENSOR_DATA
IFC-300001,EVT-1253,MAPS_SENSOR_DATA
IFC-300002,EVT-1254,MAPS_SENSOR_DATA
IFC-300003,EVT-1255,MAPS_SENSOR_DATA
IFC-300001,EVT-1256,MAPS_SENSOR_DATA
IFC-300002,EVT-1257,MAPS_SENSOR_DATA
IFC-300003,EVT-1258,MAPS_SENSOR_DATA
IFC-300001,EVT-1259,MAPS_SENSOR_DATA
IFC-300002,EVT-1260,MAPS_SENSOR_DATA
IFC-300003,EVT-1261,MAPS_SENSOR_DATA
IFC-300001,EVT-1262,MAPS_SENSOR_DATA
IFC-300002,EVT-1263,MAPS_SENSOR_DATA
IFC-300003,EVT-1264,MAPS_SENSOR_DATA
IFC-300001,EVT-1265,MAPS_SENSOR_DATA
IFC-300002,EVT-1266,MAPS_SENSOR_DATA
IFC-300003,EVT-1267,MAPS_SENSOR_DATA
IFC-300001,EVT-1268,MAPS_SENSOR_DATA
IFC-300002,EVT-1269,MAPS_SENSOR_DATA
IFC-300003,EVT-1270,MAPS_SENSOR_DATA
IFC-300001,EVT-1271,MAPS_SENSOR_DATA
IFC-300002,EVT-1272,MAPS_SENSOR_DATA
IFC-300003,EVT-1273,MAPS_SENSOR_DATA
IFC-300001,EVT-1274,MAPS_SENSOR_DATA
IFC-300002,EVT-1275,MAPS_SENSOR_DATA
IFC-300003,EVT-1276,MAPS_SENSOR_DATA
IFC-300001,EVT-1277,MAPS_SENSOR_DATA
IFC-300002,EVT-1278,MAPS_SENSOR_DATA
IFC-300003,EVT-1279,MAPS_SENSOR_DATA
IFC-300001,EVT-1280,MAPS_SENSOR_DATA
IFC-300002,EVT-1281,MAPS_SENSOR_DATA
IFC-300003,EVT-1282,MAPS_SENSOR_DATA
IFC-300001,EVT-1283,MAPS_SENSOR_DATA
IFC-300002,EVT-1284,MAPS_SENSOR_DATA
IFC-300003,EVT-1285,MAPS_SENSOR_DATA
IFC-300001,EVT-1286,MAPS_SENSOR_DATA
IFC-300002,EVT-1287,MAPS_SENSOR_DATA
IFC-300003,EVT-1288,MAPS_SENSOR_DATA
IFC-300001,EVT-1289,MAPS_SENSOR_DATA
IFC-300002,EVT-1290,MAPS_SENSOR_DATA
IFC-300003,EVT-1291,MAPS_SENSOR_DATA
IFC-300001,EVT-1292,MAPS_SENSOR_DATA
IFC-300002,EVT-1293,MAPS_SENSOR_DATA
IFC-300003,EVT-1294,MAPS_SENSOR_DATA
IFC-300001,EVT-1295,MAPS_SENSOR_DATA
IFC-300002,EVT-1296,MAPS_SENSOR_DATA
IFC-300003,EVT-1297,MAPS_SENSOR_DATA
IFC-300001,EVT-1298,MAPS_SENSOR_DATA
IFC-300002,EVT-1299,MAPS_SENSOR_DATA
IFC-300003,EVT-1300,MAPS_SENSOR_DATA
