building_id,building_name,time_period,energy_consumption,energy_type,unit
AT1030,機械舊館,2023-1,---,electricity,kWh
3E_L1,振興草坪路燈,2023-1,203.65,electricity,kWh
3E_L2,水杉道路燈,2023-1,0,electricity,kWh
AT2009,綜合教室,2023-1,0,electricity,kWh
AT2010,圖書資訊館,2023-1,9759.23,electricity,kWh
AT2011,第一活動中心,2023-1,41670.01,electricity,kWh
AT2012,農藝館,2023-1,45316.94,electricity,kWh
AT2049(1),教學二期大樓(不含圖書館書庫),2023-1,18045.94,electricity,kWh
AT2049(2),圖書館書庫,2023-1,35504.76,electricity,kWh
AT3047(1),鄭江樓北棟化工系(不含大公),2023-1,141939.13,electricity,kWh
AT3047(2),鄭江樓南棟生機系(不含公共),2023-1,28816.67,electricity,kWh
AT3047(3),鄭江樓南棟6樓保管組(不含公共),2023-1,1444.09,electricity,kWh
AT3047(4),鄭江樓南棟7樓保管組(不含公共),2023-1,2947.09,electricity,kWh
AT3047(5),鄭江樓南棟空調,2023-1,15736.87,electricity,kWh
AT3047(6),鄭江樓南棟公共(揚水、電梯),2023-1,669.97,electricity,kWh
AT3047(7),鄭江樓事務組,2023-1,2119.86,electricity,kWh
AT3047(8),鄭江樓大公(雨廢水、消防),2023-1,332.39,electricity,kWh
AT3049,學新館,2023-1,87657.94,electricity,kWh
AT3010,農機館,2023-1,34898.72,electricity,kWh
AT3013,中非大樓,2023-1,3149.44,electricity,kWh
AT3042,博理館,2023-1,117911.13,electricity,kWh
AT3038(1),社會研究所停車場,2023-1,923.89,electricity,kWh
AT3038(2),社會研究所,2023-1,14949.56,electricity,kWh
AT3037-D,-辛亥大門-,2023-1,632.91,electricity,kWh
AT3039(1),國發所停車場,2023-1,1547.08,electricity,kWh
AT3039(2),國家發展所大樓,2023-1,7016.51,electricity,kWh
AT3040(1),新聞所停車場,2023-1,1000.76,electricity,kWh
AT3040(2),新聞所大樓,2023-1,10746.49,electricity,kWh
AT1025,-水產養殖池-,2023-1,3184.51,electricity,kWh
AT1026,漁業科學館,2023-1,30433.24,electricity,kWh
AT1031,計資中心,2023-1,273669.78,electricity,kWh
AT1032,視聽教育館,2023-1,26115.91,electricity,kWh
AT1035,語言大樓,2023-1,28135.78,electricity,kWh
AT3044(1),霖澤館停車場,2023-1,1450.74,electricity,kWh
AT3044(2),霖澤館,2023-1,20418.69,electricity,kWh
AT3046(1),社科院大樓總錶,2023-1,175415,electricity,kWh
AT3045(1),萬才館停車場,2023-1,934.01,electricity,kWh
AT3045(2),萬才館,2023-1,19826.3,electricity,kWh
KT0032,水源校區總圖(飲水樓),2023-1,11550.79,electricity,kWh
KT0032-1,水源溫室,2023-1,---,electricity,kWh
KT0021,機械工廠,2023-1,10961.86,electricity,kWh
KT0025,澄思樓,2023-1,4154.29,electricity,kWh
KT0026(1),輔具中心,2023-1,0,electricity,kWh
KT0026(2),水源事務組停車場,2023-1,153.23,electricity,kWh
KT0027,育成大樓(水源),2023-1,70209.32,electricity,kWh
KT0029,行政大樓(水源),2023-1,7581.43,electricity,kWh
KT0041,理化大樓(水源),2023-1,3972.5,electricity,kWh
KT0044,育成C,2023-1,1436.7,electricity,kWh
KT0045(2),卓越研究大樓,2023-1,244023.34,electricity,kWh
AT4030,學生第二活動中心,2023-1,51744.07,electricity,kWh
AT4030-1,管院二號館,2023-1,27238.23,electricity,kWh
AT4024,展書樓,2023-1,46377.06,electricity,kWh
AT4022(1),戲劇廳（鹿嗚堂二樓）,2023-1,---,electricity,kWh
AT4022(2),鹿鳴堂一樓,2023-1,---,electricity,kWh
AT4022-1,-鹿鳴雅舍-,2023-1,---,electricity,kWh
AT4022-2,教職員工聯誼廳,2023-1,---,electricity,kWh
AT4023,地質系,2023-1,80351.25,electricity,kWh
AT4027-A,幼稚園,2023-1,2085.47,electricity,kWh
AT4016,園藝系造園館,2023-1,4138.52,electricity,kWh
AT4020,食科館,2023-1,31439.5,electricity,kWh
AT4021,園產加工廠,2023-1,13802.63,electricity,kWh
AT4034,食科所食品研發大樓,2023-1,15340.2,electricity,kWh
AT4019,大氣系A、B館,2023-1,15269.42,electricity,kWh
AT4032,園藝系精密溫室,2023-1,16696.33,electricity,kWh
AT4032(1),轉殖溫室,2023-1,9819.54,electricity,kWh
AT4032(2),精密溫室,2023-1,6876.79,electricity,kWh
AT4002,環工所,2023-1,22442.36,electricity,kWh
AT4003,工科海洋系,2023-1,56734.11,electricity,kWh
AT4038(1),禮賢樓1樓總用電(不含空調),2023-1,14051.37,electricity,kWh
AT4038(10),禮賢樓8樓總用電,2023-1,3441.69,electricity,kWh
AT4038(11),禮賢樓劇場用電,2023-1,2015.05,electricity,kWh
AT4038(12),禮賢樓大公共用電,2023-1,10998.45,electricity,kWh
AT4038(2),禮賢樓1樓空調用電,2023-1,1452.53,electricity,kWh
AT4038(3),禮賢樓1樓銀行專用迴路,2023-1,1831.07,electricity,kWh
AT4038(4),禮賢樓2樓總用電,2023-1,20700.05,electricity,kWh
AT4038(5),禮賢樓3樓總用電,2023-1,4046.09,electricity,kWh
AT4038(6),禮賢樓4樓總用電,2023-1,3358.65,electricity,kWh
AT4038(7),禮賢樓5樓總用電,2023-1,3825.99,electricity,kWh
AT4038(8),禮賢樓6樓總用電,2023-1,5321.91,electricity,kWh
AT4038(9),禮賢樓7樓總用電,2023-1,4834.59,electricity,kWh
AT5041,動物醫院,2023-1,66491.38,electricity,kWh
AT5037,動科系,2023-1,86842.44,electricity,kWh
AT5014(3),生技中心,2023-1,85101.72,electricity,kWh
AT5039,昆蟲館,2023-1,8461.41,electricity,kWh
AT5043,土木研究大樓,2023-1,85610.66,electricity,kWh
AT6011(1),環安衛中心,2023-1,10791.21,electricity,kWh
AT6011(2),環工所,2023-1,32708.51,electricity,kWh
AT6015,動物實驗中心,2023-1,123339.73,electricity,kWh
AT3035,國青舍（研三舍）,2023-1,43906.36,electricity,kWh
AT1039,體育館,2023-1,136904.35,electricity,kWh
AT4025,管理學院1號館,2023-1,34768.12,electricity,kWh
AT4018,地理系,2023-1,16833.37,electricity,kWh
AT4018-A(1),浩翰樓華南銀行,2023-1,4414.42,electricity,kWh
AT4018-A(2),華南銀行司機室,2023-1,631.24,electricity,kWh
AT4018-A(4),浩翰樓,2023-1,63948.12,electricity,kWh
AT4039,立體機車停車場總用電,2023-1,18735.69,electricity,kWh
AT4039(1),立體機車停車場事務組用電(不含大公),2023-1,9022.43,electricity,kWh
AT4039(2),立體機車停車場工科海洋用電(不含大公),2023-1,7448.32,electricity,kWh
AT4039(3),立體機車停車場大公共用電,2023-1,2264.94,electricity,kWh
AT5041-1,獸醫二館,2023-1,36058.4,electricity,kWh
AT4035,明達館,2023-1,63640.48,electricity,kWh
AT4035(1),明達館停車場,2023-1,1326.15,electricity,kWh
AT4035(3),明達2F保管組場地,2023-1,4365.79,electricity,kWh
AT4035(5),玉山台大AI暨金融科技研發中心,2023-1,1163.07,electricity,kWh
AT4031(1),生科館停車場,2023-1,1549.79,electricity,kWh
AT4031(3),生科館,2023-1,374302.98,electricity,kWh
AT4038,禮賢樓總用電,2023-1,74046.37,electricity,kWh
BT1010,經研大樓,2023-1,1947.33,electricity,kWh
BT1011,徐州校區國際會議廳,2023-1,582.48,electricity,kWh
BT1012,法學院社科圖書館,2023-1,4387.54,electricity,kWh
AT4010,農業試驗場,2023-1,17386.13,electricity,kWh
AT4010-B,種子研究室,2023-1,733.97,electricity,kWh
AT4009-A,人工氣候室,2023-1,80307.96,electricity,kWh
AT1018,數學館,2023-2,9308.85,electricity,kWh
AT1019,新數學研究中心,2023-2,4167.78,electricity,kWh
AT1020,-新生大樓-,2023-2,15499.56,electricity,kWh
AN1022,生化所,2023-2,53724.29,electricity,kWh
AT1023,電機一館,2023-2,37302.5,electricity,kWh
AT1040,化學館,2023-2,259301.92,electricity,kWh
AT1040(1),貴儀中心氦液化機用電,2023-2,10274.94,electricity,kWh
AT1040(2),化學館(不含貴儀中心氦液化機用電),2023-2,249026.98,electricity,kWh
AT1042,積學館,2023-2,166448.95,electricity,kWh
AT1044,博雅館,2023-2,28615.11,electricity,kWh
AT1017,思亮館,2023-2,38795.62,electricity,kWh
AN1024,-原分所-,2023-2,215605.47,electricity,kWh
AT1038(1),物理學系/凝態中心停車場,2023-2,4760.87,electricity,kWh
AT1038(2),凝態物理科學館,2023-2,412749.2,electricity,kWh
AT1033,心理南研究大樓,2023-2,4551.97,electricity,kWh
AT1027(1),女八九舍(含女九餐廳),2023-2,29975.5,electricity,kWh
AT1034,心理系北館,2023-2,24954.25,electricity,kWh
AT1036,應用力學研究大樓,2023-2,86307.38,electricity,kWh
AT1037,工學院綜合大樓,2023-2,206213.19,electricity,kWh
AT2025,研一女,2023-2,13175.29,electricity,kWh
AT2026,研一男,2023-2,53901.81,electricity,kWh
AT5017,男一舍,2023-2,35395.42,electricity,kWh
AT5017-A,男一舍外大餐廳,2023-2,17964.52,electricity,kWh
AT5018,男三舍,2023-2,24945.18,electricity,kWh
AT5019,男五舍,2023-2,14373.16,electricity,kWh
AT5021,男七舍,2023-2,35150.21,electricity,kWh
AT5001,男八舍,2023-2,39300.95,electricity,kWh
AT5002,男六舍,2023-2,20869.3,electricity,kWh
AT2023,大一女舍,2023-2,56091.33,electricity,kWh
AT1004 ,全球變遷中心,2023-2,45537.46,electricity,kWh
AT1011,海洋研究所,2023-2,62855.39,electricity,kWh
AT1005,游泳池,2023-2,13745.65,electricity,kWh
AT1006,舊體育館,2023-2,10772.92,electricity,kWh
AT1009(1),-闈場-,2023-2,4870.12,electricity,kWh
AT1009(2),普通大樓,2023-2,15663.8,electricity,kWh
AT1015,小福樓,2023-2,32225.58,electricity,kWh
AT2007,化學工程館,2023-2,53839.44,electricity,kWh
AT2008,土木館,2023-2,18280.82,electricity,kWh
AT2006,文學院,2023-2,19559.13,electricity,kWh
AT1002-A,司令台,2023-2,847.09,electricity,kWh
AT2001,農業陳列館,2023-2,2613.86,electricity,kWh
AT2005(1),校史館,2023-2,2183.17,electricity,kWh
AT2005(2),人類學博物館,2023-2,34629.55,electricity,kWh
AT2005(3),舊總圖,2023-2,16112.81,electricity,kWh
AT2005-1,樂學館,2023-2,4595.84,electricity,kWh
AT1041(1),新南球場,2023-2,4881.48,electricity,kWh
AT1041(2),新月台,2023-2,---,electricity,kWh
AT1041(3),新南停車場,2023-2,---,electricity,kWh
AT1041(4),紅土網球場,2023-2,449.32,electricity,kWh
AT1041(8),新月台揚水及汙水泵用電,2023-2,343.88,electricity,kWh
AT2022,女五舍,2023-2,5946.13,electricity,kWh
AT2028,三號館,2023-2,39007.22,electricity,kWh
AT2028-A,-電子顯微鏡館-,2023-2,4800.59,electricity,kWh
AT2029,農化二館暨行政大樓,2023-2,20117.69,electricity,kWh
AT2030-B,性別平等教育委員會,2023-2,175.32,electricity,kWh
AT2030-D,物理系液氮機室,2023-2,50.15,electricity,kWh
AT4026,-推廣中心-,2023-2,13851.13,electricity,kWh
AT4026-4,-城鄉所-,2023-2,1926.98,electricity,kWh
AT2004-F,大門口警衛室,2023-2,1262.28,electricity,kWh
AT2015,一號館,2023-2,60456.64,electricity,kWh
AT2015(1),一號館1F(戲劇系),2023-2,3320.72,electricity,kWh
AT2015(2),一號館2F,2023-2,15488.91,electricity,kWh
AT2015(3),一號館3F,2023-2,41647.01,electricity,kWh
AT2015-A,動物標本館,2023-2,868.32,electricity,kWh
AT2016,漁業陳列館,2023-2,105.25,electricity,kWh
AT2016-A,-漁業生物實驗室-,2023-2,0.01,electricity,kWh
AT2017,女一舍,2023-2,15778.4,electricity,kWh
AT2018,女三舍,2023-2,15512.38,electricity,kWh
AT2019,女二舍,2023-2,33914.61,electricity,kWh
AT2020,植物病毒研究室,2023-2,1235.29,electricity,kWh
AT2020-C,植物溫室,2023-2,2403.32,electricity,kWh
AT2021,植物標本館,2023-2,2481.48,electricity,kWh
2C_L1,椰林大道路燈前段,2023-2,1894.32,electricity,kWh
AT2018-A,雜工班,2023-2,1185.59,electricity,kWh
AT2027,二號館,2023-2,120992.58,electricity,kWh
AT2027(1),2號館1F,2023-2,4567.3,electricity,kWh
AT2027(2),2號館2F,2023-2,46958.2,electricity,kWh
AT2027(3),2號館3F,2023-2,51658.28,electricity,kWh
AT2030,農化系食品工廠,2023-2,4775.28,electricity,kWh
AT2031(1),化工光電晶體實驗室,2023-2,1238.06,electricity,kWh
AT2031(2),生醫材料(陶瓷)實驗室,2023-2,0,electricity,kWh
AT2031(3),綠色化學實驗室,2023-2,302.07,electricity,kWh
AT2031(4),職涯中心,2023-2,875.88,electricity,kWh
AT2031(5),學生心理輔導中心,2023-2,82.12,electricity,kWh
AT2031-A,望樂樓,2023-2,4230.25,electricity,kWh
AT2032-1(A),行政大樓教務處資訊室,2023-2,11521.04,electricity,kWh
AT2033(2),農化系實驗室,2023-2,17454.38,electricity,kWh
AT2034(2),夜間部大樓,2023-2,0,electricity,kWh
AT2034-B,保管組倉庫,2023-2,132.89,electricity,kWh
AT2034-C,小小福,2023-2,12072.78,electricity,kWh
AT2038-B,舟山路崗亭,2023-2,2129.37,electricity,kWh
AT2032,行政大樓前棟,2023-2,3518.98,electricity,kWh
AT2032-1,行政大樓後棟,2023-2,25465.02,electricity,kWh
AT2032-A,第一會議室,2023-2,999.31,electricity,kWh
AT2035,四號館,2023-2,30830.54,electricity,kWh
AT2036,五號館,2023-2,10828.57,electricity,kWh
AT2037(1),農綜館,2023-2,16550.97,electricity,kWh
AT2037(2),植物工廠,2023-2,5430.94,electricity,kWh
AT2038,共同教室,2023-2,21457.68,electricity,kWh
AT2038-A,農產品中心,2023-2,5222.06,electricity,kWh
AT2040,生工系實驗室,2023-2,1376.72,electricity,kWh
AT2041,農化系土壤研究室,2023-2,4347.12,electricity,kWh
AT2042,森林館,2023-2,17031.37,electricity,kWh
AT2043,水工試驗所,2023-2,3580.99,electricity,kWh
AT2044-A,水工試驗所馬達房,2023-2,122.83,electricity,kWh
AT2045,保健中心,2023-2,3972.44,electricity,kWh
AT2046,林產館,2023-2,14296.61,electricity,kWh
AT2047,航空測量館,2023-2,3126.59,electricity,kWh
4B_L1,停車場路燈,2023-2,1783.94,electricity,kWh
AT4029,管理學院教學館,2023-2,19555.24,electricity,kWh
AT4029-A,原教堂(藝文中心),2023-2,2211.14,electricity,kWh
AT4029-B,多功能生活廳,2023-2,---,electricity,kWh
AT2044,水工大樓,2023-2,13378.5,electricity,kWh
AT2048,園藝系花卉館,2023-2,18274.75,electricity,kWh
AT3041,總圖書館,2023-2,293334.13,electricity,kWh
AT3001,資訊工程館,2023-2,163774.42,electricity,kWh
AT3002,-機械臨時工廠-,2023-2,3562.2,electricity,kWh
AT3003(1),電機二館,2023-2,344505.78,electricity,kWh
AT3003(2),聯合研究中心,2023-2,19421.39,electricity,kWh
AT3005,獸醫一館,2023-2,47040.53,electricity,kWh
AT3043,獸醫三館,2023-2,23841.5,electricity,kWh
AT1029,志鴻館,2023-2,---,electricity,kWh
AT1030,機械舊館,2023-2,---,electricity,kWh
3E_L1,振興草坪路燈,2023-2,185.03,electricity,kWh
3E_L2,水杉道路燈,2023-2,0,electricity,kWh
AT2009,綜合教室,2023-2,0,electricity,kWh
AT2010,圖書資訊館,2023-2,10078.6,electricity,kWh
AT2011,第一活動中心,2023-2,53168.9,electricity,kWh
AT2012,農藝館,2023-2,43157.37,electricity,kWh
AT2049(1),教學二期大樓(不含圖書館書庫),2023-2,20714.64,electricity,kWh
AT2049(2),圖書館書庫,2023-2,31945.93,electricity,kWh
AT3047(1),鄭江樓北棟化工系(不含大公),2023-2,134197.55,electricity,kWh
AT3047(2),鄭江樓南棟生機系(不含公共),2023-2,27504.52,electricity,kWh
AT3047(3),鄭江樓南棟6樓保管組(不含公共),2023-2,1305.79,electricity,kWh
AT3047(4),鄭江樓南棟7樓保管組(不含公共),2023-2,3552.45,electricity,kWh
AT3047(5),鄭江樓南棟空調,2023-2,14903.62,electricity,kWh
AT3047(6),鄭江樓南棟公共(揚水、電梯),2023-2,687.56,electricity,kWh
AT3047(7),鄭江樓事務組,2023-2,1800.31,electricity,kWh
AT3047(8),鄭江樓大公(雨廢水、消防),2023-2,306.55,electricity,kWh
AT3049,學新館,2023-2,85605.75,electricity,kWh
AT3010,農機館,2023-2,30365.06,electricity,kWh
AT3013,中非大樓,2023-2,2808.75,electricity,kWh
AT3042,博理館,2023-2,112511.31,electricity,kWh
AT3038(1),社會研究所停車場,2023-2,828.32,electricity,kWh
AT3038(2),社會研究所,2023-2,14961.32,electricity,kWh
AT3037-D,-辛亥大門-,2023-2,554.54,electricity,kWh
AT3039(1),國發所停車場,2023-2,1390.38,electricity,kWh
AT3039(2),國家發展所大樓,2023-2,6948.42,electricity,kWh
AT3040(1),新聞所停車場,2023-2,923.55,electricity,kWh
AT3040(2),新聞所大樓,2023-2,10032.95,electricity,kWh
AT1025,-水產養殖池-,2023-2,2962.46,electricity,kWh
AT1026,漁業科學館,2023-2,29751.54,electricity,kWh
AT1031,計資中心,2023-2,248503.31,electricity,kWh
AT1032,視聽教育館,2023-2,36823.67,electricity,kWh
AT1035,語言大樓,2023-2,38600.95,electricity,kWh
AT3044(1),霖澤館停車場,2023-2,1303.9,electricity,kWh
AT3044(2),霖澤館,2023-2,18314.76,electricity,kWh
AT3046(1),社科院大樓總錶,2023-2,167179.49,electricity,kWh
AT3045(1),萬才館停車場,2023-2,1115.97,electricity,kWh
AT3045(2),萬才館,2023-2,21042.59,electricity,kWh
KT0032,水源校區總圖(飲水樓),2023-2,10770.45,electricity,kWh
KT0032-1,水源溫室,2023-2,---,electricity,kWh
KT0021,機械工廠,2023-2,10957.32,electricity,kWh
KT0025,澄思樓,2023-2,4123.52,electricity,kWh
KT0026(1),輔具中心,2023-2,0,electricity,kWh
KT0026(2),水源事務組停車場,2023-2,137.64,electricity,kWh
KT0027,育成大樓(水源),2023-2,71187.81,electricity,kWh
KT0029,行政大樓(水源),2023-2,8117.57,electricity,kWh
KT0041,理化大樓(水源),2023-2,3056.42,electricity,kWh
KT0044,育成C,2023-2,1573.03,electricity,kWh
KT0045(2),卓越研究大樓,2023-2,283693.63,electricity,kWh
AT4030,學生第二活動中心,2023-2,61073.89,electricity,kWh
AT4030-1,管院二號館,2023-2,28438.69,electricity,kWh
AT4024,展書樓,2023-2,47255.12,electricity,kWh
AT4022(1),戲劇廳（鹿嗚堂二樓）,2023-2,---,electricity,kWh
AT4022(2),鹿鳴堂一樓,2023-2,---,electricity,kWh
AT4022-1,-鹿鳴雅舍-,2023-2,---,electricity,kWh
AT4022-2,教職員工聯誼廳,2023-2,---,electricity,kWh
AT4023,地質系,2023-2,80645.66,electricity,kWh
AT4027-A,幼稚園,2023-2,2391.84,electricity,kWh
AT4016,園藝系造園館,2023-2,4002.22,electricity,kWh
AT4020,食科館,2023-2,31255.75,electricity,kWh
AT4021,園產加工廠,2023-2,13843.9,electricity,kWh
AT4034,食科所食品研發大樓,2023-2,14741.8,electricity,kWh
AT4019,大氣系A、B館,2023-2,16018.76,electricity,kWh
AT4032,園藝系精密溫室,2023-2,16031.91,electricity,kWh
AT4032(1),轉殖溫室,2023-2,8888.61,electricity,kWh
AT4032(2),精密溫室,2023-2,7143.3,electricity,kWh
AT4002,環工所,2023-2,22213.01,electricity,kWh
AT4003,工科海洋系,2023-2,59377.93,electricity,kWh
AT4038(1),禮賢樓1樓總用電(不含空調),2023-2,14303.52,electricity,kWh
AT4038(10),禮賢樓8樓總用電,2023-2,3803.16,electricity,kWh
AT4038(11),禮賢樓劇場用電,2023-2,2554.31,electricity,kWh
AT4038(12),禮賢樓大公共用電,2023-2,11197.15,electricity,kWh
AT4038(2),禮賢樓1樓空調用電,2023-2,1584.12,electricity,kWh
AT4038(3),禮賢樓1樓銀行專用迴路,2023-2,1842.31,electricity,kWh
AT4038(4),禮賢樓2樓總用電,2023-2,22679.44,electricity,kWh
AT4038(5),禮賢樓3樓總用電,2023-2,4519.03,electricity,kWh
AT4038(6),禮賢樓4樓總用電,2023-2,3976.2,electricity,kWh
AT4038(7),禮賢樓5樓總用電,2023-2,4446.9,electricity,kWh
AT4038(8),禮賢樓6樓總用電,2023-2,5510.43,electricity,kWh
