source_id,target_id,relationship_type,scenario
EF_AT1038(1)_2023-1,EM_AT1038(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1038(2),EF_AT1038(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1038(2)_2023-1,EM_AT1038(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1033,EF_AT1033_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1033_2023-1,EM_AT1033_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1027(1),EF_AT1027(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1027(1)_2023-1,EM_AT1027(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1034,EF_AT1034_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1034_2023-1,EM_AT1034_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1036,EF_AT1036_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1036_2023-1,EM_AT1036_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1037,EF_AT1037_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1037_2023-1,EM_AT1037_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2025,EF_AT2025_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2025_2023-1,EM_AT2025_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2026,EF_AT2026_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2026_2023-1,EM_AT2026_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5017,EF_AT5017_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5017_2023-1,EM_AT5017_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5017-A,EF_AT5017-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5017-A_2023-1,EM_AT5017-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5018,EF_AT5018_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5018_2023-1,EM_AT5018_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5019,EF_AT5019_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5019_2023-1,EM_AT5019_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5021,EF_AT5021_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5021_2023-1,EM_AT5021_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5001,EF_AT5001_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5001_2023-1,EM_AT5001_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT5002,EF_AT5002_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT5002_2023-1,EM_AT5002_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2023,EF_AT2023_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2023_2023-1,EM_AT2023_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1004 ,EF_AT1004 _2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1004 _2023-1,EM_AT1004 _2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1011,EF_AT1011_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1011_2023-1,EM_AT1011_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1005,EF_AT1005_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1005_2023-1,EM_AT1005_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1006,EF_AT1006_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1006_2023-1,EM_AT1006_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1009(1),EF_AT1009(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1009(1)_2023-1,EM_AT1009(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1009(2),EF_AT1009(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1009(2)_2023-1,EM_AT1009(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1015,EF_AT1015_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1015_2023-1,EM_AT1015_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2007,EF_AT2007_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2007_2023-1,EM_AT2007_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2008,EF_AT2008_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2008_2023-1,EM_AT2008_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2006,EF_AT2006_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2006_2023-1,EM_AT2006_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1002-A,EF_AT1002-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1002-A_2023-1,EM_AT1002-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2001,EF_AT2001_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2001_2023-1,EM_AT2001_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2005(1),EF_AT2005(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2005(1)_2023-1,EM_AT2005(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2005(2),EF_AT2005(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2005(2)_2023-1,EM_AT2005(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2005(3),EF_AT2005(3)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2005(3)_2023-1,EM_AT2005(3)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2005-1,EF_AT2005-1_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2005-1_2023-1,EM_AT2005-1_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1041(1),EF_AT1041(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1041(1)_2023-1,EM_AT1041(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1041(2),EF_AT1041(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1041(2)_2023-1,EM_AT1041(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1041(3),EF_AT1041(3)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1041(3)_2023-1,EM_AT1041(3)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1041(4),EF_AT1041(4)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1041(4)_2023-1,EM_AT1041(4)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1041(8),EF_AT1041(8)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1041(8)_2023-1,EM_AT1041(8)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2022,EF_AT2022_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2022_2023-1,EM_AT2022_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2028,EF_AT2028_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2028_2023-1,EM_AT2028_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2028-A,EF_AT2028-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2028-A_2023-1,EM_AT2028-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2029,EF_AT2029_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2029_2023-1,EM_AT2029_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2030-B,EF_AT2030-B_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2030-B_2023-1,EM_AT2030-B_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2030-D,EF_AT2030-D_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2030-D_2023-1,EM_AT2030-D_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT4026,EF_AT4026_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT4026_2023-1,EM_AT4026_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT4026-4,EF_AT4026-4_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT4026-4_2023-1,EM_AT4026-4_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2004-F,EF_AT2004-F_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2004-F_2023-1,EM_AT2004-F_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2015,EF_AT2015_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2015_2023-1,EM_AT2015_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2015(1),EF_AT2015(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2015(1)_2023-1,EM_AT2015(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2015(2),EF_AT2015(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2015(2)_2023-1,EM_AT2015(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2015(3),EF_AT2015(3)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2015(3)_2023-1,EM_AT2015(3)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2015-A,EF_AT2015-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2015-A_2023-1,EM_AT2015-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2016,EF_AT2016_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2016_2023-1,EM_AT2016_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2016-A,EF_AT2016-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2016-A_2023-1,EM_AT2016-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2017,EF_AT2017_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2017_2023-1,EM_AT2017_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2018,EF_AT2018_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2018_2023-1,EM_AT2018_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2019,EF_AT2019_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2019_2023-1,EM_AT2019_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2020,EF_AT2020_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2020_2023-1,EM_AT2020_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2020-C,EF_AT2020-C_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2020-C_2023-1,EM_AT2020-C_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2021,EF_AT2021_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2021_2023-1,EM_AT2021_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_2C_L1,EF_2C_L1_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_2C_L1_2023-1,EM_2C_L1_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2018-A,EF_AT2018-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2018-A_2023-1,EM_AT2018-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2027,EF_AT2027_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2027_2023-1,EM_AT2027_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2027(1),EF_AT2027(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2027(1)_2023-1,EM_AT2027(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2027(2),EF_AT2027(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2027(2)_2023-1,EM_AT2027(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2027(3),EF_AT2027(3)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2027(3)_2023-1,EM_AT2027(3)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2030,EF_AT2030_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2030_2023-1,EM_AT2030_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2031(1),EF_AT2031(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2031(1)_2023-1,EM_AT2031(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2031(2),EF_AT2031(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2031(2)_2023-1,EM_AT2031(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2031(3),EF_AT2031(3)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2031(3)_2023-1,EM_AT2031(3)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2031(4),EF_AT2031(4)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2031(4)_2023-1,EM_AT2031(4)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2031(5),EF_AT2031(5)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2031(5)_2023-1,EM_AT2031(5)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2031-A,EF_AT2031-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2031-A_2023-1,EM_AT2031-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2032-1(A),EF_AT2032-1(A)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2032-1(A)_2023-1,EM_AT2032-1(A)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2033(2),EF_AT2033(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2033(2)_2023-1,EM_AT2033(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2034(2),EF_AT2034(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2034(2)_2023-1,EM_AT2034(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2034-B,EF_AT2034-B_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2034-B_2023-1,EM_AT2034-B_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2034-C,EF_AT2034-C_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2034-C_2023-1,EM_AT2034-C_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2038-B,EF_AT2038-B_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2038-B_2023-1,EM_AT2038-B_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2032,EF_AT2032_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2032_2023-1,EM_AT2032_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2032-1,EF_AT2032-1_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2032-1_2023-1,EM_AT2032-1_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2032-A,EF_AT2032-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2032-A_2023-1,EM_AT2032-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2035,EF_AT2035_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2035_2023-1,EM_AT2035_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2036,EF_AT2036_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2036_2023-1,EM_AT2036_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2037(1),EF_AT2037(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2037(1)_2023-1,EM_AT2037(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2037(2),EF_AT2037(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2037(2)_2023-1,EM_AT2037(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2038,EF_AT2038_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2038_2023-1,EM_AT2038_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2038-A,EF_AT2038-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2038-A_2023-1,EM_AT2038-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2040,EF_AT2040_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2040_2023-1,EM_AT2040_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2041,EF_AT2041_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2041_2023-1,EM_AT2041_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2042,EF_AT2042_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2042_2023-1,EM_AT2042_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2043,EF_AT2043_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2043_2023-1,EM_AT2043_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2044-A,EF_AT2044-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2044-A_2023-1,EM_AT2044-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2045,EF_AT2045_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2045_2023-1,EM_AT2045_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2046,EF_AT2046_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2046_2023-1,EM_AT2046_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2047,EF_AT2047_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2047_2023-1,EM_AT2047_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_4B_L1,EF_4B_L1_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_4B_L1_2023-1,EM_4B_L1_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT4029,EF_AT4029_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT4029_2023-1,EM_AT4029_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT4029-A,EF_AT4029-A_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT4029-A_2023-1,EM_AT4029-A_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT4029-B,EF_AT4029-B_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT4029-B_2023-1,EM_AT4029-B_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2044,EF_AT2044_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2044_2023-1,EM_AT2044_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2048,EF_AT2048_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2048_2023-1,EM_AT2048_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3041,EF_AT3041_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3041_2023-1,EM_AT3041_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3001,EF_AT3001_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3001_2023-1,EM_AT3001_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3002,EF_AT3002_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3002_2023-1,EM_AT3002_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3003(1),EF_AT3003(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3003(1)_2023-1,EM_AT3003(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3003(2),EF_AT3003(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3003(2)_2023-1,EM_AT3003(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3005,EF_AT3005_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3005_2023-1,EM_AT3005_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3043,EF_AT3043_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3043_2023-1,EM_AT3043_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1029,EF_AT1029_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1029_2023-1,EM_AT1029_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT1030,EF_AT1030_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT1030_2023-1,EM_AT1030_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_3E_L1,EF_3E_L1_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_3E_L1_2023-1,EM_3E_L1_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_3E_L2,EF_3E_L2_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_3E_L2_2023-1,EM_3E_L2_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2009,EF_AT2009_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2009_2023-1,EM_AT2009_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2010,EF_AT2010_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2010_2023-1,EM_AT2010_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2011,EF_AT2011_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2011_2023-1,EM_AT2011_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2012,EF_AT2012_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2012_2023-1,EM_AT2012_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2049(1),EF_AT2049(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2049(1)_2023-1,EM_AT2049(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT2049(2),EF_AT2049(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT2049(2)_2023-1,EM_AT2049(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(1),EF_AT3047(1)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(1)_2023-1,EM_AT3047(1)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(2),EF_AT3047(2)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(2)_2023-1,EM_AT3047(2)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(3),EF_AT3047(3)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(3)_2023-1,EM_AT3047(3)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(4),EF_AT3047(4)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(4)_2023-1,EM_AT3047(4)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(5),EF_AT3047(5)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(5)_2023-1,EM_AT3047(5)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(6),EF_AT3047(6)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(6)_2023-1,EM_AT3047(6)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(7),EF_AT3047(7)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(7)_2023-1,EM_AT3047(7)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3047(8),EF_AT3047(8)_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3047(8)_2023-1,EM_AT3047(8)_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3049,EF_AT3049_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3049_2023-1,EM_AT3049_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3010,EF_AT3010_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3010_2023-1,EM_AT3010_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3013,EF_AT3013_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
EF_AT3013_2023-1,EM_AT3013_2023-1,GENERATES_EMISSION,Carbon_SIDCM
B_AT3042,EF_AT3042_2023-1,CONSUMES_ENERGY,Carbon_SIDCM
